V161003,V161086,V161087,V161088,V161089,V161090,V161091,V161092,V161093,V161094,V161095,V161096,V161109,V161126,V161134A,V161178,V161181,V161184,V161187,V161189,V161198,V161201,V161295,V161361X,V162096,V162097,V162098,V162099,V162100,V162101,V162105
2,85,0,-89,15,50,50,85,60,-89,85,15,2,2,-1,5,5,4,1,5,3,2,40,26,70,70,60,60,40,30,40
2,85,0,40,50,70,15,85,85,-89,85,0,5,3,54,4,5,3,1,4,4,2,54,24,60,70,50,50,40,15,50
3,60,70,-89,50,60,50,60,40,-88,50,50,1,5,-1,5,5,5,3,4,5,3,30,22,70,70,60,60,60,70,60
2,90,0,60,-89,90,0,100,90,-89,85,30,0,2,-1,7,3,1,1,1,1,1,40,12,95,90,50,100,15,40,50
1,-88,70,-89,-89,-89,-89,50,30,-89,15,50,1,99,40,99,99,1,1,-8,1,7,-1,-9,15,0,0,50,30,30,60
4,40,70,0,50,50,50,85,60,50,70,50,0,1,-8,99,99,99,3,99,99,99,-1,1,50,50,50,70,85,50,100
2,30,30,60,50,-89,50,60,70,60,40,30,3,3,52,5,4,2,3,5,3,3,48,27,60,70,50,60,50,60,40
3,70,0,70,50,40,15,85,70,-89,70,70,1,5,60,4,3,3,1,4,4,99,40,17,85,70,85,85,70,60,70
3,70,60,-89,70,-89,50,85,70,-89,100,0,0,4,-1,4,4,3,1,4,7,2,-1,7,100,60,50,70,0,40,50
3,60,40,50,50,-89,-89,60,50,-89,70,70,5,4,70,4,4,4,3,4,4,4,-1,5,30,30,60,60,50,60,50
4,0,50,50,-89,-88,-89,0,0,50,40,60,2,99,-1,99,99,2,3,2,7,4,48,15,15,50,50,50,50,50,50
2,15,70,50,15,40,-89,15,15,50,15,85,2,4,-1,4,7,5,1,4,6,3,-1,25,60,70,60,70,60,60,60
1,30,30,50,-88,50,60,40,50,-88,40,60,0,5,45,4,4,5,1,5,3,4,9,14,50,30,30,60,40,60,50
5,50,50,50,50,50,-89,60,50,-89,50,50,5,99,-1,4,6,4,3,4,99,3,-1,24,50,50,50,60,50,50,50
4,70,15,50,50,50,50,85,85,50,70,40,0,99,68,99,2,2,1,99,99,99,-1,12,50,70,85,70,60,50,60
2,0,70,-89,-89,50,85,0,0,-89,0,60,1,4,-1,99,7,4,1,99,7,2,12,11,100,40,70,100,0,60,50
4,0,70,50,-89,60,-89,30,30,-89,30,60,1,4,-1,99,4,7,2,7,5,5,40,22,85,15,40,85,50,60,60
3,60,15,70,70,40,50,85,50,50,85,50,1,99,70,6,4,5,2,3,4,6,40,17,85,70,100,100,70,60,85
2,30,30,-89,-89,-89,-89,70,60,-89,100,0,4,99,60,4,99,99,1,99,4,99,40,13,50,50,85,100,50,50,30
2,40,60,-89,-88,-88,42,40,30,-89,40,60,2,4,50,5,5,3,1,7,7,4,20,14,15,0,40,40,15,50,15
2,0,85,-89,-89,30,-89,15,15,-89,50,50,0,99,30,3,3,4,3,4,7,-8,-1,1,40,60,50,40,30,50,50
1,45,65,-89,-89,50,50,10,55,45,2,85,2,5,15,6,7,7,3,7,7,7,70,22,-6,-6,-6,-6,-6,-6,-6
4,15,40,85,40,50,50,15,40,-89,15,40,2,4,-1,4,5,5,3,5,5,4,40,17,50,40,50,60,60,40,60
3,30,30,-89,-88,-89,50,50,15,-89,50,50,0,4,-8,2,5,4,3,99,4,4,-1,-9,-6,-6,-6,-6,-6,-6,-6
4,0,70,0,-89,-89,70,0,0,-89,0,70,0,6,-1,2,4,6,2,7,7,3,100,13,0,0,40,50,70,85,60
3,70,40,60,60,-89,-89,85,70,-89,60,60,0,3,67,4,5,3,3,2,4,2,35,11,70,70,60,70,60,70,70
1,85,0,0,-89,0,0,85,50,-89,60,30,4,2,-1,6,1,1,1,3,5,1,50,24,100,100,70,85,60,40,100
2,15,60,-89,-89,-89,50,15,0,-89,40,60,1,6,-1,3,4,4,3,5,3,3,45,1,40,50,30,50,50,50,50
